Subject,Running,Correct_Response,Trigger,List1,List1.Sample,Prime,Target,Target2.ACC,Target2.RT
7,List1,6,143,43,176,solidify,hotel,1,486
7,List1,6,144,44,100,fortify,market,1,459
7,List1,6,145,45,83,profiteer,just,1,463
7,List1,6,146,46,70,directory,court,1,580
7,List1,6,147,47,54,armory,null,1,640
7,List1,6,148,48,171,acidify,racket,1,620
7,List1,6,149,49,124,frontier,musket,1,530
7,List1,6,150,50,111,humidify,cloth,1,558
7,List1,6,152,52,17,witness,imp,0,871
7,List1,6,159,59,128,listen,flow,0,498
7,List1,6,160,60,167,pastor,trait,1,620
7,List1,6,161,61,21,banish,limb,1,609
7,List1,6,162,62,47,heathen,hung,1,511
7,List1,6,163,63,183,mister,poll,1,575
7,List1,6,164,64,76,raptor,van,1,478
7,List1,6,174,74,26,helpless,weak,1,561
7,List1,6,175,75,91,chiefly,great,1,369
7,List1,6,176,76,56,strongly,ill,1,576
7,List1,6,177,77,141,deafness,calm,1,517
7,List1,6,178,78,102,deadly,death,1,388
7,List1,6,179,79,192,sickness,waif,0,634
7,List1,6,180,80,94,worthless,high,1,626
7,List1,6,181,81,84,thankless,stain,1,495
7,List1,6,182,82,95,toothless,war,1,419
7,List1,6,192,92,149,tractor,draw,1,431
7,List1,6,193,93,31,sculptor,green,1,523
7,List1,6,194,94,39,selfish,book,1,676
7,List1,6,195,95,86,freshen,drunk,1,448
7,List1,6,196,96,114,debtor,fool,1,542
7,List1,6,197,97,64,prayer,freak,1,491
7,List1,6,198,98,35,professor,flax,1,492
7,List1,6,199,99,3,soften,hunt,1,652
7,List1,6,200,100,20,fasten,sail,1,640
7,List1,5,245,101,22,amplifier,amplif,1,681
7,List1,5,245,102,117,amusing,amus,1,567
7,List1,5,245,103,143,apprising,appris,1,581
7,List1,5,245,104,32,arising,aris,1,523
7,List1,5,245,105,29,blaming,blam,1,506
7,List1,5,245,106,200,candify,cand,1,803
7,List1,5,245,107,197,capturing,captur,1,578
7,List1,5,245,108,129,certify,cert,1,562
7,List1,5,245,109,90,clarify,clar,0,337
7,List1,5,245,110,98,clumsier,clums,1,666
7,List1,5,245,111,191,comelier,comel,1,761
7,List1,5,245,112,33,comparing,compar,1,771
7,List1,5,245,113,19,competing,compet,1,688
7,List1,5,245,114,179,conditory,condit,0,519
7,List1,5,245,115,85,crating,crat,1,527
7,List1,5,245,116,59,culpatory,culpat,1,625
7,List1,5,245,117,7,dandify,dand,1,541
7,List1,5,245,118,144,dilatory,dilat,1,654
7,List1,5,245,119,136,dinkier,dink,1,716
7,List1,5,245,120,130,dizzier,dizz,1,858
7,List1,5,245,121,8,droning,dron,1,509
7,List1,5,245,122,131,emptier,empt,1,619
7,List1,5,245,123,121,emulatory,emulat,1,465
7,List1,5,245,124,164,emulsify,emuls,1,491
7,List1,5,245,125,108,felicify,felic,1,662
7,List1,5,245,126,78,flimsier,flims,0,454
7,List1,5,245,127,10,forcing,forc,1,678
7,List1,5,245,128,51,forging,forg,1,664
7,List1,5,245,129,14,fumify,fum,1,574
7,List1,5,245,130,125,hortatory,hortat,1,489
7,List1,5,245,131,63,lonelier,lonel,1,515
7,List1,5,245,132,195,monitory,monit,1,538
7,List1,5,245,133,41,nippier,nipp,0,501
7,List1,5,245,134,97,nuttier,nutt,0,546
7,List1,5,245,135,153,peskier,pesk,0,520
7,List1,5,245,136,118,punitory,punit,1,824
7,List1,5,245,137,73,purifier,purif,0,421
7,List1,5,245,138,93,ropier,rop,0,346
7,List1,5,245,139,53,stratify,strat,1,712
7,List1,5,245,140,4,terrify,terr,1,772
7,List1,5,245,141,30,territory,territ,1,578
7,List1,5,245,142,34,garaging,garag,1,572
7,List1,5,245,143,159,gliding,glid,1,969
7,List1,5,245,144,13,gouging,goug,0,598
7,List1,5,245,145,122,grating,grat,1,729
7,List1,5,245,146,101,hiking,hik,1,667
7,List1,5,245,147,188,impeding,imped,1,872
7,List1,5,245,148,9,lopping,lopp,1,598
7,List1,5,245,149,127,merging,merg,1,553
7,List1,5,245,150,12,parading,parad,1,646
7,List1,5,246,151,24,barmen,barm,1,793
7,List1,5,246,152,82,brazen,braz,1,615
7,List1,5,246,153,199,broken,brok,1,611
7,List1,5,246,154,25,fifteen,fifte,1,505
7,List1,5,246,155,138,gotten,gott,1,477
7,List1,5,246,156,135,happen,happ,1,636
7,List1,5,246,157,198,kitchen,kitch,1,802
7,List1,5,246,158,158,stolen,stol,1,673
7,List1,5,246,159,28,worsen,wors,1,538
7,List1,5,246,160,75,writhen,writh,1,565
7,List1,5,246,161,175,blemish,blem,1,653
7,List1,5,246,162,165,furbish,furb,1,707
7,List1,5,246,163,105,skirmish,skirm,1,1285
7,List1,5,246,164,72,angrily,angri,1,572
7,List1,5,246,165,66,bimonthly,bimonth,1,700
7,List1,5,246,166,160,colly,col,1,706
7,List1,5,246,167,152,dishevely,disheve,1,808
7,List1,5,246,168,126,equably,equab,1,593
7,List1,5,246,169,96,glibly,glib,1,707
7,List1,5,246,170,161,humbly,humb,1,754
7,List1,5,246,171,189,rally,ral,1,625
7,List1,5,246,172,151,spindly,spind,1,680
7,List1,5,246,173,194,suitably,suitab,1,570
7,List1,5,246,174,154,treacly,treac,1,504
7,List1,5,246,175,5,trembly,tremb,1,677
7,List1,5,246,176,67,variably,variab,1,684
7,List1,5,246,177,52,baroness,baro,0,504
7,List1,5,246,178,168,deaconess,deaco,1,555
7,List1,5,246,179,40,guinness,guin,0,516
7,List1,5,246,180,15,haziness,hazi,1,943
7,List1,5,246,181,119,accusor,accus,1,656
7,List1,5,246,182,89,advisor,advis,1,681
7,List1,5,246,183,61,alluminor,allumin,1,698
7,List1,5,246,184,140,author,auth,1,573
7,List1,5,246,185,36,aviator,aviat,1,716
7,List1,5,246,186,71,censor,cens,1,740
7,List1,5,246,187,150,cursor,curs,1,664
7,List1,5,246,188,162,devisor,devis,0,450
7,List1,5,246,189,103,emperor,emper,1,588
7,List1,5,246,190,178,guarantor,guarant,1,830
7,List1,5,246,191,48,literator,literat,1,783
7,List1,5,246,192,120,paritor,parit,1,656
7,List1,5,246,193,110,recaptor,recapt,1,534
7,List1,5,246,194,169,redactor,redact,1,619
7,List1,5,246,195,60,tremor,trem,1,874
7,List1,5,246,196,185,vector,vect,1,671
7,List1,5,246,197,145,terribly,terrib,1,598
7,List1,5,246,198,92,tolerably,tolerab,1,602
7,List1,5,246,199,123,volubly,volub,1,377
7,List1,5,246,200,187,wiggly,wigg,1,920
7,List2,6,4,4,146,kindling,kind,1,667
7,List2,6,5,5,122,dumpling,dump,1,502
7,List2,6,6,6,189,random,ran,1,1141
7,List2,6,7,7,126,dearth,dear,1,687
7,List2,6,12,12,78,hickory,hick,1,555
7,List2,6,13,13,104,auditory,audit,0,441
7,List2,6,14,14,20,testify,test,1,501
7,List2,6,24,24,8,boredom,bore,1,547
7,List2,6,25,25,166,tenth,ten,1,456
7,List2,6,26,26,143,freedom,free,1,563
7,List2,6,27,27,74,kingdom,king,1,474
7,List2,6,28,28,119,sapling,sap,1,605
7,List2,6,29,29,130,earthling,earth,1,512
7,List2,6,30,30,87,growth,grow,0,374
7,List2,6,31,31,95,serfdom,serf,1,592
7,List2,6,32,32,139,health,heal,1,666
7,List2,6,42,42,155,classify,class,1,478
7,List2,6,43,43,149,hotelier,hotel,1,604
7,List2,6,44,44,50,marketeer,market,1,541
7,List2,6,45,45,72,justify,just,1,506
7,List2,6,46,46,75,courtier,court,1,538
7,List2,6,47,47,92,nullify,null,1,567
7,List2,6,48,48,198,racketeer,racket,1,528
7,List2,6,49,49,25,musketeer,musket,1,479
7,List2,6,50,50,52,clothier,cloth,1,717
7,List2,6,52,52,142,imply,imp,0,779
7,List2,6,59,59,174,flower,flow,1,554
7,List2,6,60,60,98,traitor,trait,1,528
7,List2,6,61,61,115,limber,limb,1,629
7,List2,6,62,62,86,hunger,hung,0,286
7,List2,6,63,63,106,pollen,poll,1,522
7,List2,6,64,64,179,vanish,van,1,483
7,List2,6,74,74,83,weakness,weak,1,461
7,List2,6,75,75,158,greatly,great,1,527
7,List2,6,76,76,199,illness,ill,1,617
7,List2,6,77,77,61,calmness,calm,1,487
7,List2,6,78,78,190,deathlike,death,1,742
7,List2,6,79,79,66,waiflike,waif,0,649
7,List2,6,80,80,160,highly,high,1,591
7,List2,6,81,81,90,stainless,stain,1,534
7,List2,6,82,82,65,warlike,war,1,488
7,List2,6,92,92,26,drawer,draw,0,503
7,List2,6,93,93,7,greenish,green,1,474
7,List2,6,94,94,14,bookish,book,1,485
7,List2,6,95,95,170,drunken,drunk,1,538
7,List2,6,96,96,64,foolish,fool,1,472
7,List2,6,97,97,133,freakish,freak,1,480
7,List2,6,98,98,15,flaxen,flax,1,493
7,List2,6,99,99,153,hunter,hunt,1,525
7,List2,6,100,100,112,sailor,sail,1,476
7,List2,6,101,1,188,kindling,bread,1,470
7,List2,6,102,2,9,dumpling,hear,1,499
7,List2,6,103,3,10,random,you,1,419
7,List2,6,108,8,77,hickory,car,1,491
7,List2,6,109,9,150,auditory,rat,1,596
7,List2,6,110,10,55,testify,fact,1,478
7,List2,6,111,11,94,dearth,pill,1,455
7,List2,6,115,15,41,boredom,seed,1,475
7,List2,6,116,16,134,tenth,warm,1,473
7,List2,6,117,17,111,freedom,four,0,451
7,List2,6,118,18,110,kingdom,boy,1,419
7,List2,6,119,19,82,sapling,eleven,0,589
7,List2,6,120,20,30,earthling,six,1,688
7,List2,6,121,21,182,growth,duck,1,484
7,List2,6,122,22,48,serfdom,star,1,468
7,List2,6,123,23,175,health,man,1,522
7,List2,6,133,33,124,classify,cash,1,454
7,List2,6,134,34,129,hotelier,solid,1,512
7,List2,6,135,35,53,marketeer,fort,1,534
7,List2,6,136,36,117,justify,profit,0,620
7,List2,6,137,37,184,courtier,direct,1,653
7,List2,6,138,38,67,nullify,arm,1,505
7,List2,6,139,39,33,racketeer,acid,1,592
7,List2,6,140,40,43,musketeer,front,1,531
7,List2,6,141,41,91,clothier,humid,1,614
7,List2,6,151,51,44,imply,wit,1,564
7,List2,6,153,53,191,flower,list,1,654
7,List2,6,154,54,164,traitor,past,1,488
7,List2,6,155,55,138,limber,ban,0,714
7,List2,6,156,56,97,hunger,heath,1,432
7,List2,6,157,57,6,pollen,mist,1,522
7,List2,6,158,58,156,vanish,rapt,1,606
7,List2,6,165,65,59,weakness,help,1,671
7,List2,6,166,66,120,greatly,chief,1,629
7,List2,6,167,67,163,illness,strong,1,487
7,List2,6,168,68,31,calmness,deaf,1,768
7,List2,6,169,69,54,deathlike,dead,1,446
7,List2,6,170,70,62,waiflike,sick,1,511
7,List2,6,171,71,157,highly,worth,0,0
7,List2,6,172,72,4,stainless,thank,1,601
7,List2,6,173,73,100,warlike,tooth,1,505
7,List2,6,183,83,180,drawer,tract,0,580
7,List2,6,184,84,76,greenish,sculpt,1,611
7,List2,6,185,85,154,bookish,self,1,518
7,List2,6,186,86,140,drunken,fresh,1,594
7,List2,6,187,87,79,foolish,debt,1,596
7,List2,6,188,88,181,freakish,pray,1,500
7,List2,6,189,89,34,flaxen,profess,1,441
7,List2,6,190,90,69,hunter,soft,1,498
7,List2,6,191,91,152,sailor,fast,1,509
7,List2,5,245,101,57,cavalier,caval,0,751
7,List2,5,245,102,183,brigadier,brigad,1,517
7,List2,5,245,103,56,chevalier,cheval,1,543
7,List2,5,245,104,109,chandelier,chandel,1,475
7,List2,5,245,105,101,adulatory,adulat,1,529
7,List2,5,245,106,136,amatory,amat,1,569
7,List2,5,245,107,35,arbory,arb,1,633
7,List2,5,245,108,29,curatory,curat,1,576
7,List2,5,245,109,42,dormitory,dormit,1,547
7,List2,5,245,110,147,olfactory,olfact,1,628
7,List2,5,245,111,200,territory,territ,1,561
7,List2,5,245,112,39,domineer,domin,1,514
7,List2,5,245,113,21,mutineer,mutin,1,542
7,List2,5,245,114,5,celestify,celest,1,474
7,List2,5,245,115,167,corporify,corpor,1,697
7,List2,5,245,116,73,daintify,daint,1,491
7,List2,5,245,117,128,dandify,dand,0,824
7,List2,5,245,118,185,fructify,fruct,1,637
7,List2,5,245,119,28,sensify,sens,1,704
7,List2,5,245,120,58,veneer,ven,1,599
7,List2,5,245,121,1,reindeer,reind,1,1226
7,List2,5,245,122,85,carbineer,carbin,1,597
7,List2,5,245,123,162,donatory,donat,1,559
7,List2,5,245,124,125,excretory,excret,1,1119
7,List2,5,245,125,187,gustatory,gustat,1,502
7,List2,5,245,126,47,monitory,monit,1,468
7,List2,5,245,127,141,purgatory,purgat,1,859
7,List2,5,245,128,123,rectory,rect,1,726
7,List2,5,245,129,49,refectory,refect,0,684
7,List2,5,245,130,102,revisory,revis,1,770
7,List2,5,245,131,19,senatory,senat,1,613
7,List2,5,245,132,105,signatory,signat,1,634
7,List2,5,245,133,81,alkalify,alkal,1,812
7,List2,5,245,134,23,calcify,calc,1,494
7,List2,5,245,135,172,calorify,calor,1,578
7,List2,5,245,136,84,capacify,capac,1,765
7,List2,5,245,137,171,diabolify,diabol,1,594
7,List2,5,245,138,186,horrify,horr,1,654
7,List2,5,245,139,107,modify,mod,1,610
7,List2,5,245,140,165,prettify,prett,0,720
7,List2,5,245,141,40,stratify,strat,0,915
7,List2,5,245,142,148,terrify,terr,1,620
7,List2,5,245,143,169,damnatory,damnat,1,537
7,List2,5,245,144,3,piscatory,piscat,1,561
7,List2,5,245,145,46,darling,dar,1,635
7,List2,5,245,146,114,sibling,sib,0,508
7,List2,5,245,147,99,wisdom,wis,1,601
7,List2,5,245,148,193,offertory,offert,1,687
7,List2,5,245,149,145,crematory,cremat,1,676
7,List2,5,245,150,96,carnify,carn,1,696
7,List2,5,246,151,38,eternish,etern,1,610
7,List2,5,246,152,173,guinness,guin,0,699
7,List2,5,246,153,103,simply,simp,1,561
7,List2,5,246,154,151,brambly,bramb,1,781
7,List2,5,246,155,161,grizzly,grizz,0,543
7,List2,5,246,156,51,sprightly,spright,0,621
7,List2,5,246,157,70,brinish,brin,1,586
7,List2,5,246,158,36,flemish,flem,1,585
7,List2,5,246,159,132,skirmish,skirm,1,536
7,List2,5,246,160,60,varnish,varn,1,1167
7,List2,5,246,161,113,aspirator,aspirat,1,572
7,List2,5,246,162,12,aviator,aviat,1,588
7,List2,5,246,163,108,bachelor,bachel,0,683
7,List2,5,246,164,194,corridor,corrid,0,631
7,List2,5,246,165,63,creator,creat,1,568
7,List2,5,246,166,13,realtor,realt,1,620
7,List2,5,246,167,144,broiden,broid,1,740
7,List2,5,246,168,16,burden,burd,0,461
7,List2,5,246,169,168,spearmen,spearm,1,809
7,List2,5,246,170,89,spoken,spok,1,598
7,List2,5,246,171,131,stamen,stam,1,608
7,List2,5,246,172,137,trouser,trous,1,921
7,List2,5,246,173,88,smoulder,smould,0,446
7,List2,5,246,174,118,spinster,spinst,1,717
7,List2,5,246,175,93,tamper,tamp,1,543
7,List2,5,246,176,177,thunder,thund,1,843
7,List2,5,246,177,2,monger,mong,1,594
7,List2,5,246,178,192,pamper,pamp,1,630
7,List2,5,246,179,197,semester,semest,1,640
7,List2,5,246,180,196,hamper,hamp,1,584
7,List2,5,246,181,176,jasper,jasp,1,554
7,List2,5,246,182,18,dander,dand,1,701
7,List2,5,246,183,11,cluster,clust,0,596
7,List2,5,246,184,195,clyster,clyst,1,575
7,List2,5,246,185,121,betroth,betro,1,494
7,List2,5,246,186,27,birth,bir,0,432
7,List2,5,246,187,80,belly,bel,1,668
7,List2,5,246,188,22,comply,comp,1,486
7,List2,5,246,189,45,purply,purp,1,628
7,List2,5,246,190,32,spindly,spind,0,728
7,List2,5,246,191,116,sprawly,spraw,1,1765
7,List2,5,246,192,37,brackish,brack,0,562
7,List2,5,246,193,17,snakish,snak,1,636
7,List2,5,246,194,127,condor,cond,1,527
7,List2,5,246,195,135,curator,curat,1,601
7,List2,5,246,196,159,harbor,harb,0,559
7,List2,5,246,197,71,mirror,mirr,1,1122
7,List2,5,246,198,178,lichen,lich,1,1195
7,List2,5,246,199,68,women,wom,1,673
7,List2,5,246,200,24,tinder,tind,1,663
8,List1,6,1,1,35,breadth,bread,1,618
8,List1,6,2,2,82,hearth,hear,1,645
8,List1,6,3,3,144,youth,you,1,531
8,List1,6,8,8,119,career,car,1,694
8,List1,6,9,9,31,ratify,rat,1,584
8,List1,6,10,10,79,factory,fact,1,900
8,List1,6,11,11,161,pillory,pill,1,720
8,List1,6,15,15,142,seedling,seed,1,467
8,List1,6,16,16,46,warmth,warm,1,492
8,List1,6,17,17,22,fourth,four,1,638
8,List1,6,18,18,83,boyhood,boy,1,445
8,List1,6,19,19,88,eleventh,eleven,1,574
8,List1,6,20,20,54,sixth,six,1,494
8,List1,6,21,21,100,duckling,duck,1,465
8,List1,6,22,22,90,stardom,star,1,439
8,List1,6,23,23,102,manhood,man,1,505
8,List1,6,33,33,24,cashier,cash,1,631
8,List1,6,34,34,112,solidify,solid,1,484
8,List1,6,35,35,61,fortify,fort,1,856
8,List1,6,36,36,127,profiteer,profit,1,607
8,List1,6,37,37,13,directory,direct,1,652
8,List1,6,38,38,164,armory,arm,1,616
8,List1,6,39,39,4,acidify,acid,1,642
8,List1,6,40,40,106,frontier,front,1,667
8,List1,6,41,41,58,humidify,humid,1,607
8,List1,6,51,51,167,witness,wit,1,729
8,List1,6,53,53,110,listen,list,1,516
8,List1,6,54,54,63,pastor,past,0,720
8,List1,6,55,55,71,banish,ban,1,634
8,List1,6,56,56,47,heathen,heath,1,1044
8,List1,6,57,57,55,mister,mist,1,655
8,List1,6,58,58,5,raptor,rapt,1,930
8,List1,6,65,65,33,helpless,help,1,497
8,List1,6,66,66,172,chiefly,chief,1,562
8,List1,6,67,67,160,strongly,strong,1,543
8,List1,6,68,68,128,deafness,deaf,1,407
8,List1,6,69,69,166,deadly,dead,1,497
8,List1,6,70,70,23,sickness,sick,1,671
8,List1,6,71,71,117,worthless,worth,1,477
8,List1,6,72,72,25,thankless,thank,1,791
8,List1,6,73,73,168,toothless,tooth,1,610
8,List1,6,83,83,73,tractor,tract,0,586
8,List1,6,84,84,34,sculptor,sculpt,1,689
8,List1,6,85,85,48,selfish,self,1,557
8,List1,6,86,86,186,freshen,fresh,1,477
8,List1,6,87,87,185,debtor,debt,1,653
8,List1,6,88,88,153,prayer,pray,1,486
8,List1,6,89,89,189,professor,profess,0,830
8,List1,6,90,90,32,soften,soft,1,577
8,List1,6,91,91,26,fasten,fast,1,704
8,List1,6,104,4,74,breadth,kind,1,523
8,List1,6,105,5,141,hearth,dump,1,594
8,List1,6,106,6,50,youth,ran,1,597
8,List1,6,107,7,96,pillory,dear,1,504
8,List1,6,112,12,158,career,hick,1,887
8,List1,6,113,13,171,ratify,audit,1,666
8,List1,6,114,14,81,factory,test,1,605
8,List1,6,124,24,184,seedling,bore,1,501
8,List1,6,125,25,39,warmth,ten,1,555
8,List1,6,126,26,125,fourth,free,1,687
8,List1,6,127,27,126,boyhood,king,1,688
8,List1,6,128,28,12,eleventh,sap,1,916
8,List1,6,129,29,7,sixth,earth,1,619
8,List1,6,130,30,37,duckling,grow,1,522
8,List1,6,131,31,72,stardom,serf,0,786
8,List1,6,132,32,89,manhood,heal,1,486
8,List1,6,142,42,42,cashier,class,1,595
8,List1,6,143,43,108,solidify,hotel,1,595
8,List1,6,144,44,176,fortify,market,1,467
8,List1,6,145,45,180,profiteer,just,1,572
8,List1,6,146,46,163,directory,court,1,704
8,List1,6,147,47,18,armory,null,0,885
8,List1,6,148,48,191,acidify,racket,1,495
8,List1,6,149,49,10,frontier,musket,0,1044
8,List1,6,150,50,138,humidify,cloth,1,626
8,List1,6,152,52,113,witness,imp,1,908
8,List1,6,159,59,69,listen,flow,1,626
8,List1,6,160,60,80,pastor,trait,1,668
8,List1,6,161,61,107,banish,limb,1,643
8,List1,6,162,62,137,heathen,hung,1,666
8,List1,6,163,63,1,mister,poll,1,1353
8,List1,6,164,64,84,raptor,van,1,685
8,List1,6,174,74,16,helpless,weak,1,661
8,List1,6,175,75,174,chiefly,great,1,451
8,List1,6,176,76,78,strongly,ill,1,628
8,List1,6,177,77,129,deafness,calm,1,608
8,List1,6,178,78,124,deadly,death,1,871
8,List1,6,179,79,188,sickness,waif,0,1206
8,List1,6,180,80,145,worthless,high,1,588
8,List1,6,181,81,183,thankless,stain,1,525
8,List1,6,182,82,28,toothless,war,1,543
8,List1,6,192,92,154,tractor,draw,1,510
8,List1,6,193,93,87,sculptor,green,1,566
8,List1,6,194,94,199,selfish,book,1,544
8,List1,6,195,95,200,freshen,drunk,1,585
8,List1,6,196,96,190,debtor,fool,1,462
8,List1,6,197,97,6,prayer,freak,1,578
8,List1,6,198,98,175,professor,flax,1,547
8,List1,6,199,99,116,soften,hunt,1,525
8,List1,6,200,100,149,fasten,sail,1,629
8,List2,6,4,4,126,kindling,kind,1,406
8,List2,6,5,5,76,dumpling,dump,1,835
8,List2,6,6,6,108,random,ran,1,483
8,List2,6,7,7,138,dearth,dear,1,545
8,List2,6,12,12,198,hickory,hick,1,448
8,List2,6,13,13,93,auditory,audit,1,647
8,List2,6,14,14,166,testify,test,1,481
8,List2,6,24,24,15,boredom,bore,1,628
8,List2,6,25,25,124,tenth,ten,1,470
8,List2,6,26,26,109,freedom,free,1,499
8,List2,6,27,27,186,kingdom,king,1,741
8,List2,6,28,28,107,sapling,sap,1,587
8,List2,6,29,29,105,earthling,earth,1,474
8,List2,6,30,30,154,growth,grow,1,501
8,List2,6,31,31,118,serfdom,serf,1,605
8,List2,6,32,32,120,health,heal,1,598
8,List2,6,42,42,59,classify,class,1,663
8,List2,6,43,43,50,hotelier,hotel,1,733
8,List2,6,44,44,128,marketeer,market,1,511
8,List2,6,45,45,122,justify,just,1,462
8,List2,6,46,46,38,courtier,court,1,481
8,List2,6,47,47,41,nullify,null,1,834
8,List2,6,48,48,147,racketeer,racket,1,484
8,List2,6,49,49,102,musketeer,musket,1,577
8,List2,6,50,50,62,clothier,cloth,1,696
8,List2,6,52,52,117,imply,imp,1,669
8,List2,6,59,59,181,flower,flow,1,611
8,List2,6,60,60,18,traitor,trait,1,589
8,List2,6,61,61,115,limber,limb,1,556
8,List2,6,62,62,158,hunger,hung,1,606
8,List2,6,63,63,103,pollen,poll,0,889
8,List2,6,64,64,52,vanish,van,1,589
8,List2,6,74,74,196,weakness,weak,1,663
8,List2,6,75,75,8,greatly,great,1,475
8,List2,6,76,76,163,illness,ill,1,464
8,List2,6,77,77,156,calmness,calm,1,382
8,List2,6,78,78,172,deathlike,death,1,466
8,List2,6,79,79,170,waiflike,waif,0,505
8,List2,6,80,80,153,highly,high,1,381
8,List2,6,81,81,94,stainless,stain,1,520
8,List2,6,82,82,125,warlike,war,1,390
8,List2,6,92,92,54,drawer,draw,1,613
8,List2,6,93,93,70,greenish,green,1,561
8,List2,6,94,94,81,bookish,book,1,404
8,List2,6,95,95,64,drunken,drunk,1,576
8,List2,6,96,96,63,foolish,fool,1,488
8,List2,6,97,97,136,freakish,freak,1,442
8,List2,6,98,98,113,flaxen,flax,1,483
8,List2,6,99,99,84,hunter,hunt,1,596
8,List2,6,100,100,168,sailor,sail,1,576
8,List2,6,101,1,9,kindling,bread,1,490
8,List2,6,102,2,47,dumpling,hear,1,476
8,List2,6,103,3,79,random,you,1,484
8,List2,6,108,8,169,hickory,car,1,593
8,List2,6,109,9,131,auditory,rat,1,440
8,List2,6,110,10,82,testify,fact,1,636
8,List2,6,111,11,49,dearth,pill,1,517
8,List2,6,115,15,56,boredom,seed,1,478
8,List2,6,116,16,34,tenth,warm,1,465
8,List2,6,117,17,17,freedom,four,1,597
8,List2,6,118,18,11,kingdom,boy,1,547
8,List2,6,119,19,112,sapling,eleven,1,491
8,List2,6,120,20,197,earthling,six,1,527
8,List2,6,121,21,192,growth,duck,1,623
8,List2,6,122,22,99,serfdom,star,1,560
8,List2,6,123,23,161,health,man,1,391
8,List2,6,133,33,44,classify,cash,1,539
8,List2,6,134,34,143,hotelier,solid,1,539
8,List2,6,135,35,28,marketeer,fort,1,599
8,List2,6,136,36,57,justify,profit,1,526
8,List2,6,137,37,146,courtier,direct,1,892
8,List2,6,138,38,35,nullify,arm,1,569
8,List2,6,139,39,43,racketeer,acid,1,771
8,List2,6,140,40,127,musketeer,front,1,455
8,List2,6,141,41,101,clothier,humid,1,521
8,List2,6,151,51,145,imply,wit,1,547
8,List2,6,153,53,151,flower,list,1,565
8,List2,6,154,54,23,traitor,past,1,487
8,List2,6,155,55,97,limber,ban,1,599
