Subject,Session,Group,Block,Procedure,Running,Correct_Response,Trigger,List1,List1.Cycle,List1.Sample,Prime,Target,Target2.ACC,Target2.CRESP,Target2.DurationError,Target2.OnsetDelay,Target2.OnsetTime,Target2.RESP,Target2.RT,Target2.RTTime
7,1,1,156,Procedure1,List1,6,35,35,1,156,fortify,fort,1,6,0,10,633629,6,696,634325
7,1,1,182,Procedure1,List1,6,36,36,1,182,profiteer,profit,1,6,0,11,731173,6,886,732059
7,1,1,79,Procedure1,List1,6,37,37,1,79,directory,direct,0,6,0,10,344748,5,543,345291
7,1,1,146,Procedure1,List1,6,38,38,1,146,armory,arm,1,6,0,10,596112,6,654,596766
7,1,1,190,Procedure1,List1,6,39,39,1,190,acidify,acid,1,6,0,10,761186,6,577,761763
7,1,1,81,Procedure1,List1,6,40,40,1,81,frontier,front,1,6,0,10,352252,6,663,352915
7,1,1,88,Procedure1,List1,6,41,41,1,88,humidify,humid,1,6,0,10,378514,6,400,378914
7,1,1,170,Procedure1,List1,6,51,51,1,170,witness,wit,1,6,0,10,686152,6,572,686724
7,1,1,116,Procedure1,List1,6,53,53,1,116,listen,list,1,6,0,10,483561,6,743,484304
7,1,1,107,Procedure1,List1,6,54,54,1,107,pastor,past,1,6,0,10,449796,6,549,450345
7,1,1,58,Procedure1,List1,6,55,55,1,58,banish,ban,1,6,0,10,265963,6,513,266476
7,1,1,163,Procedure1,List1,6,56,56,1,163,heathen,heath,1,6,0,10,659890,6,475,660365
7,1,1,80,Procedure1,List1,6,57,57,1,80,mister,mist,1,6,0,10,348500,6,471,348971
7,1,1,180,Procedure1,List1,6,58,58,1,180,raptor,rapt,1,6,0,10,723669,6,663,724332
7,1,1,155,Procedure1,List1,6,65,65,1,155,helpless,help,1,6,0,10,629877,6,544,630421
7,1,1,11,Procedure1,List1,6,66,66,1,11,chiefly,chief,1,6,0,10,89634,6,509,90143
7,1,1,104,Procedure1,List1,6,67,67,1,104,strongly,strong,1,6,0,10,438541,6,428,438969
7,1,1,55,Procedure1,List1,6,68,68,1,55,deafness,deaf,1,6,0,10,254708,6,480,255188
7,1,1,142,Procedure1,List1,6,69,69,1,142,deadly,dead,1,6,0,10,581105,6,453,581558
7,1,1,115,Procedure1,List1,6,70,70,1,115,sickness,sick,1,6,0,10,479809,6,471,480280
7,1,1,44,Procedure1,List1,6,71,71,1,44,worthless,worth,1,6,0,10,213439,6,518,213957
7,1,1,69,Procedure1,List1,6,72,72,1,69,thankless,thank,1,6,0,11,307232,6,451,307683
7,1,1,196,Procedure1,List1,6,73,73,1,196,toothless,tooth,1,6,0,10,783696,6,498,784194
7,1,1,18,Procedure1,List1,6,83,83,1,18,tractor,tract,1,6,0,10,115895,6,872,116767
7,1,1,74,Procedure1,List1,6,84,84,1,74,sculptor,sculpt,0,6,0,10,325990,5,485,326475
7,1,1,147,Procedure1,List1,6,85,85,1,147,selfish,self,1,6,0,10,599863,6,495,600358
7,1,1,99,Procedure1,List1,6,86,86,1,99,freshen,fresh,1,6,0,10,419782,6,459,420241
7,1,1,132,Procedure1,List1,6,87,87,1,132,debtor,debt,0,6,0,10,543588,5,555,544143
7,1,1,133,Procedure1,List1,6,88,88,1,133,prayer,pray,1,6,0,10,547340,6,491,547831
7,1,1,2,Procedure1,List1,6,89,89,1,2,professor,profess,1,6,0,10,55868,6,796,56664
7,1,1,46,Procedure1,List1,6,90,90,1,46,soften,soft,1,6,0,10,220943,6,510,221453
7,1,1,65,Procedure1,List1,6,91,91,1,65,fasten,fast,1,6,0,10,292225,6,579,292804
7,1,1,49,Procedure1,List1,6,104,4,1,49,breadth,kind,1,6,0,10,232198,6,591,232789
7,1,1,113,Procedure1,List1,6,105,5,1,113,hearth,dump,1,6,0,10,472306,6,390,472696
7,1,1,157,Procedure1,List1,6,106,6,1,157,youth,ran,1,6,0,10,637380,6,561,637941
7,1,1,42,Procedure1,List1,6,107,7,1,42,pillory,dear,1,6,0,10,205936,6,637,206573
7,1,1,184,Procedure1,List1,6,112,12,1,184,career,hick,1,6,0,10,738676,6,559,739235
7,1,1,134,Procedure1,List1,6,113,13,1,134,ratify,audit,0,6,0,10,551091,5,572,551663
7,1,1,177,Procedure1,List1,6,114,14,1,177,factory,test,1,6,0,10,712414,6,630,713044
7,1,1,166,Procedure1,List1,6,124,24,1,166,seedling,bore,1,6,0,10,671145,6,932,672077
7,1,1,193,Procedure1,List1,6,125,25,1,193,warmth,ten,1,6,0,10,772441,6,674,773115
7,1,1,62,Procedure1,List1,6,126,26,1,62,fourth,free,1,6,0,10,280970,6,466,281436
7,1,1,106,Procedure1,List1,6,127,27,1,106,boyhood,king,1,6,0,10,446044,6,501,446545
7,1,1,172,Procedure1,List1,6,128,28,1,172,eleventh,sap,1,6,0,10,693656,6,564,694220
7,1,1,181,Procedure1,List1,6,129,29,1,181,sixth,earth,1,6,0,10,727421,6,495,727916
7,1,1,45,Procedure1,List1,6,130,30,1,45,duckling,grow,1,6,0,10,217191,6,494,217685
7,1,1,112,Procedure1,List1,6,131,31,1,112,stardom,serf,0,6,0,10,468554,5,606,469160
7,1,1,174,Procedure1,List1,6,132,32,1,174,manhood,heal,1,6,0,10,701159,6,517,701676
7,1,1,77,Procedure1,List1,6,142,42,1,77,cashier,class,1,6,0,10,337245,6,494,337739
7,1,1,176,Procedure1,List1,6,143,43,1,176,solidify,hotel,1,6,0,10,708662,6,486,709148
7,1,1,100,Procedure1,List1,6,144,44,1,100,fortify,market,1,6,0,10,423534,6,459,423993
7,1,1,83,Procedure1,List1,6,145,45,1,83,profiteer,just,1,6,0,10,359755,6,463,360218
7,1,1,70,Procedure1,List1,6,146,46,1,70,directory,court,1,6,0,10,310983,6,580,311563
7,1,1,54,Procedure1,List1,6,147,47,1,54,armory,null,1,6,0,10,250956,6,640,251596
7,1,1,171,Procedure1,List1,6,148,48,1,171,acidify,racket,1,6,0,10,689904,6,620,690524
7,1,1,124,Procedure1,List1,6,149,49,1,124,frontier,musket,1,6,0,10,513574,6,530,514104
7,1,1,111,Procedure1,List1,6,150,50,1,111,humidify,cloth,1,6,0,10,464802,6,558,465360
7,1,1,17,Procedure1,List1,6,152,52,1,17,witness,imp,0,6,0,10,112144,5,871,113015
7,1,1,128,Procedure1,List1,6,159,59,1,128,listen,flow,0,6,0,10,528581,5,498,529079
7,1,1,167,Procedure1,List1,6,160,60,1,167,pastor,trait,1,6,0,10,674897,6,620,675517
7,1,1,21,Procedure1,List1,6,161,61,1,21,banish,limb,1,6,0,10,127150,6,609,127759
7,1,1,47,Procedure1,List1,6,162,62,1,47,heathen,hung,1,6,0,10,224694,6,511,225205
7,1,1,183,Procedure1,List1,6,163,63,1,183,mister,poll,1,6,0,10,734924,6,575,735499
7,1,1,76,Procedure1,List1,6,164,64,1,76,raptor,van,1,6,0,10,333493,6,478,333971
7,1,1,26,Procedure1,List1,6,174,74,1,26,helpless,weak,1,6,0,10,145909,6,561,146470
7,1,1,91,Procedure1,List1,6,175,75,1,91,chiefly,great,1,6,0,10,389769,6,369,390138
7,1,1,56,Procedure1,List1,6,176,76,1,56,strongly,ill,1,6,0,10,258460,6,576,259036
7,1,1,141,Procedure1,List1,6,177,77,1,141,deafness,calm,1,6,0,10,577353,6,517,577870
7,1,1,102,Procedure1,List1,6,178,78,1,102,deadly,death,1,6,0,10,431037,6,388,431425
7,1,1,192,Procedure1,List1,6,179,79,1,192,sickness,waif,0,6,0,10,768689,5,634,769323
7,1,1,94,Procedure1,List1,6,180,80,1,94,worthless,high,1,6,0,10,401024,6,626,401650
7,1,1,84,Procedure1,List1,6,181,81,1,84,thankless,stain,1,6,0,10,363507,6,495,364002
7,1,1,95,Procedure1,List1,6,182,82,1,95,toothless,war,1,6,0,10,404775,6,419,405194
7,1,1,149,Procedure1,List1,6,192,92,1,149,tractor,draw,1,6,0,10,607367,6,431,607798
7,1,1,31,Procedure1,List1,6,193,93,1,31,sculptor,green,1,6,0,10,164667,6,523,165190
7,1,1,39,Procedure1,List1,6,194,94,1,39,selfish,book,1,6,0,10,194681,6,676,195357
7,1,1,86,Procedure1,List1,6,195,95,1,86,freshen,drunk,1,6,0,10,371010,6,448,371458
7,1,1,114,Procedure1,List1,6,196,96,1,114,debtor,fool,1,6,0,10,476058,6,542,476600
7,1,1,64,Procedure1,List1,6,197,97,1,64,prayer,freak,1,6,0,10,288473,6,491,288964
7,1,1,35,Procedure1,List1,6,198,98,1,35,professor,flax,1,6,0,10,179674,6,492,180166
7,1,1,3,Procedure1,List1,6,199,99,1,3,soften,hunt,1,6,0,10,59620,6,652,60272
7,1,1,20,Procedure1,List1,6,200,100,1,20,fasten,sail,1,6,0,10,123399,6,640,124039
7,1,1,22,Procedure1,List1,5,245,101,1,22,amplifier,amplif,1,5,0,10,130902,5,681,131583
7,1,1,117,Procedure1,List1,5,245,102,1,117,amusing,amus,1,5,0,10,487313,5,567,487880
7,1,1,143,Procedure1,List1,5,245,103,1,143,apprising,appris,1,5,0,10,584857,5,581,585438
7,1,1,32,Procedure1,List1,5,245,104,1,32,arising,aris,1,5,0,10,168419,5,523,168942
7,1,1,29,Procedure1,List1,5,245,105,1,29,blaming,blam,1,5,0,10,157164,5,506,157670
7,1,1,200,Procedure1,List1,5,245,106,1,200,candify,cand,1,5,0,10,798703,5,803,799506
7,1,1,197,Procedure1,List1,5,245,107,1,197,capturing,captur,1,5,0,10,787448,5,578,788026
7,1,1,129,Procedure1,List1,5,245,108,1,129,certify,cert,1,5,0,10,532333,5,562,532895
7,1,1,90,Procedure1,List1,5,245,109,1,90,clarify,clar,0,5,0,10,386017,6,337,386354
7,1,1,98,Procedure1,List1,5,245,110,1,98,clumsier,clums,1,5,0,11,416031,5,666,416697
7,1,1,191,Procedure1,List1,5,245,111,1,191,comelier,comel,1,5,0,10,764938,5,761,765699
7,1,1,33,Procedure1,List1,5,245,112,1,33,comparing,compar,1,5,0,10,172171,5,771,172942
7,1,1,19,Procedure1,List1,5,245,113,1,19,competing,compet,1,5,0,10,119647,5,688,120335
7,1,1,179,Procedure1,List1,5,245,114,1,179,conditory,condit,0,5,0,10,719917,6,519,720436
7,1,1,85,Procedure1,List1,5,245,115,1,85,crating,crat,1,5,0,10,367259,5,527,367786
7,1,1,59,Procedure1,List1,5,245,116,1,59,culpatory,culpat,1,5,0,10,269715,5,625,270340
7,1,1,7,Procedure1,List1,5,245,117,1,7,dandify,dand,1,5,0,10,74627,5,541,75168
7,1,1,144,Procedure1,List1,5,245,118,1,144,dilatory,dilat,1,5,0,10,588608,5,654,589262
7,1,1,136,Procedure1,List1,5,245,119,1,136,dinkier,dink,1,5,0,10,558595,5,716,559311
7,1,1,130,Procedure1,List1,5,245,120,1,130,dizzier,dizz,1,5,0,10,536085,5,858,536943
7,1,1,8,Procedure1,List1,5,245,121,1,8,droning,dron,1,5,0,11,78379,5,509,78888
7,1,1,131,Procedure1,List1,5,245,122,1,131,emptier,empt,1,5,0,10,539836,5,619,540455
7,1,1,121,Procedure1,List1,5,245,123,1,121,emulatory,emulat,1,5,0,10,502319,5,465,502784
7,1,1,164,Procedure1,List1,5,245,124,1,164,emulsify,emuls,1,5,0,10,663642,5,491,664133
7,1,1,108,Procedure1,List1,5,245,125,1,108,felicify,felic,1,5,0,10,453547,5,662,454209
7,1,1,78,Procedure1,List1,5,245,126,1,78,flimsier,flims,0,5,0,10,340997,6,454,341451
7,1,1,10,Procedure1,List1,5,245,127,1,10,forcing,forc,1,5,0,10,85882,5,678,86560
7,1,1,51,Procedure1,List1,5,245,128,1,51,forging,forg,1,5,0,10,239701,5,664,240365
7,1,1,14,Procedure1,List1,5,245,129,1,14,fumify,fum,1,5,0,10,100889,5,574,101463
7,1,1,125,Procedure1,List1,5,245,130,1,125,hortatory,hortat,1,5,0,10,517326,5,489,517815
7,1,1,63,Procedure1,List1,5,245,131,1,63,lonelier,lonel,1,5,0,10,284721,5,515,285236
7,1,1,195,Procedure1,List1,5,245,132,1,195,monitory,monit,1,5,0,11,779945,5,538,780483
7,1,1,41,Procedure1,List1,5,245,133,1,41,nippier,nipp,0,5,0,10,202184,6,501,202685
7,1,1,97,Procedure1,List1,5,245,134,1,97,nuttier,nutt,0,5,0,10,412279,6,546,412825
7,1,1,153,Procedure1,List1,5,245,135,1,153,peskier,pesk,0,5,0,10,622373,6,520,622893
7,1,1,118,Procedure1,List1,5,245,136,1,118,punitory,punit,1,5,0,10,491064,5,824,491888
7,1,1,73,Procedure1,List1,5,245,137,1,73,purifier,purif,0,5,0,10,322238,6,421,322659
7,1,1,93,Procedure1,List1,5,245,138,1,93,ropier,rop,0,5,0,10,397272,6,346,397618
7,1,1,53,Procedure1,List1,5,245,139,1,53,stratify,strat,1,5,0,10,247204,5,712,247916
7,1,1,4,Procedure1,List1,5,245,140,1,4,terrify,terr,1,5,0,10,63372,5,772,64144
7,1,1,30,Procedure1,List1,5,245,141,1,30,territory,territ,1,5,0,10,160916,5,578,161494
7,1,1,34,Procedure1,List1,5,245,142,1,34,garaging,garag,1,5,0,10,175922,5,572,176494
7,1,1,159,Procedure1,List1,5,245,143,1,159,gliding,glid,1,5,0,10,644884,5,969,645853
7,1,1,13,Procedure1,List1,5,245,144,1,13,gouging,goug,0,5,0,10,97137,6,598,97735
7,1,1,122,Procedure1,List1,5,245,145,1,122,grating,grat,1,5,0,10,506071,5,729,506800
7,1,1,101,Procedure1,List1,5,245,146,1,101,hiking,hik,1,5,0,10,427286,5,667,427953
7,1,1,188,Procedure1,List1,5,245,147,1,188,impeding,imped,1,5,0,10,753683,5,872,754555
7,1,1,9,Procedure1,List1,5,245,148,1,9,lopping,lopp,1,5,0,10,82130,5,598,82728
7,1,1,127,Procedure1,List1,5,245,149,1,127,merging,merg,1,5,0,11,524830,5,553,525383
7,1,1,12,Procedure1,List1,5,245,150,1,12,parading,parad,1,5,0,10,93385,5,646,94031
7,1,1,24,Procedure1,List1,5,246,151,1,24,barmen,barm,1,5,0,10,138406,5,793,139199
7,1,1,82,Procedure1,List1,5,246,152,1,82,brazen,braz,1,5,0,10,356003,5,615,356618
7,1,1,199,Procedure1,List1,5,246,153,1,199,broken,brok,1,5,0,10,794951,5,611,795562
7,1,1,25,Procedure1,List1,5,246,154,1,25,fifteen,fifte,1,5,0,10,142157,5,505,142662
7,1,1,138,Procedure1,List1,5,246,155,1,138,gotten,gott,1,5,0,10,566098,5,477,566575
7,1,1,135,Procedure1,List1,5,246,156,1,135,happen,happ,1,5,0,10,554843,5,636,555479
7,1,1,198,Procedure1,List1,5,246,157,1,198,kitchen,kitch,1,5,0,10,791200,5,802,792002
7,1,1,158,Procedure1,List1,5,246,158,1,158,stolen,stol,1,5,0,10,641132,5,673,641805
7,1,1,28,Procedure1,List1,5,246,159,1,28,worsen,wors,1,5,0,10,153412,5,538,153950
7,1,1,75,Procedure1,List1,5,246,160,1,75,writhen,writh,1,5,0,10,329742,5,565,330307
7,1,1,175,Procedure1,List1,5,246,161,1,175,blemish,blem,1,5,0,10,704911,5,653,705564
7,1,1,165,Procedure1,List1,5,246,162,1,165,furbish,furb,1,5,0,10,667394,5,707,668101
7,1,1,105,Procedure1,List1,5,246,163,1,105,skirmish,skirm,1,5,0,10,442292,5,1285,443577
7,1,1,72,Procedure1,List1,5,246,164,1,72,angrily,angri,1,5,0,10,318487,5,572,319059
7,1,1,66,Procedure1,List1,5,246,165,1,66,bimonthly,bimonth,1,5,0,10,295976,5,700,296676
7,1,1,160,Procedure1,List1,5,246,166,1,160,colly,col,1,5,0,10,648635,5,706,649341
7,1,1,152,Procedure1,List1,5,246,167,1,152,dishevely,disheve,1,5,0,10,618622,5,808,619430
7,1,1,126,Procedure1,List1,5,246,168,1,126,equably,equab,1,5,0,10,521078,5,593,521671
7,1,1,96,Procedure1,List1,5,246,169,1,96,glibly,glib,1,5,0,10,408527,5,707,409234
7,1,1,161,Procedure1,List1,5,246,170,1,161,humbly,humb,1,5,0,10,652387,5,754,653141
7,1,1,189,Procedure1,List1,5,246,171,1,189,rally,ral,1,5,0,10,757434,5,625,758059
7,1,1,151,Procedure1,List1,5,246,172,1,151,spindly,spind,1,5,0,10,614870,5,680,615550
7,1,1,194,Procedure1,List1,5,246,173,1,194,suitably,suitab,1,5,0,10,776193,5,570,776763
7,1,1,154,Procedure1,List1,5,246,174,1,154,treacly,treac,1,5,0,10,626125,5,504,626629
7,1,1,5,Procedure1,List1,5,246,175,1,5,trembly,tremb,1,5,0,10,67123,5,677,67800
7,1,1,67,Procedure1,List1,5,246,176,1,67,variably,variab,1,5,0,10,299728,5,684,300412
7,1,1,52,Procedure1,List1,5,246,177,1,52,baroness,baro,0,5,0,10,243453,6,504,243957
7,1,1,168,Procedure1,List1,5,246,178,1,168,deaconess,deaco,1,5,0,10,678649,5,555,679204
7,1,1,40,Procedure1,List1,5,246,179,1,40,guinness,guin,0,5,0,10,198433,6,516,198949
7,1,1,15,Procedure1,List1,5,246,180,1,15,haziness,hazi,1,5,0,10,104640,5,943,105583
7,1,1,119,Procedure1,List1,5,246,181,1,119,accusor,accus,1,5,0,10,494816,5,656,495472
7,1,1,89,Procedure1,List1,5,246,182,1,89,advisor,advis,1,5,0,10,382265,5,681,382946
7,1,1,61,Procedure1,List1,5,246,183,1,61,alluminor,allumin,1,5,0,10,277218,5,698,277916
7,1,1,140,Procedure1,List1,5,246,184,1,140,author,auth,1,5,0,10,573601,5,573,574174
7,1,1,36,Procedure1,List1,5,246,185,1,36,aviator,aviat,1,5,0,10,183426,5,716,184142
7,1,1,71,Procedure1,List1,5,246,186,1,71,censor,cens,1,5,0,10,314735,5,740,315475
7,1,1,150,Procedure1,List1,5,246,187,1,150,cursor,curs,1,5,0,10,611118,5,664,611782
7,1,1,162,Procedure1,List1,5,246,188,1,162,devisor,devis,0,5,0,10,656139,6,450,656589
7,1,1,103,Procedure1,List1,5,246,189,1,103,emperor,emper,1,5,0,10,434789,5,588,435377
7,1,1,178,Procedure1,List1,5,246,190,1,178,guarantor,guarant,1,5,0,10,716166,5,830,716996
7,1,1,48,Procedure1,List1,5,246,191,1,48,literator,literat,1,5,0,10,228446,5,783,229229
7,1,1,120,Procedure1,List1,5,246,192,1,120,paritor,parit,1,5,0,10,498568,5,656,499224
7,1,1,110,Procedure1,List1,5,246,193,1,110,recaptor,recapt,1,5,0,10,461051,5,534,461585
7,1,1,169,Procedure1,List1,5,246,194,1,169,redactor,redact,1,5,0,10,682401,5,619,683020
7,1,1,60,Procedure1,List1,5,246,195,1,60,tremor,trem,1,5,0,10,273466,5,874,274340
7,1,1,185,Procedure1,List1,5,246,196,1,185,vector,vect,1,5,0,10,742428,5,671,743099
7,1,1,145,Procedure1,List1,5,246,197,1,145,terribly,terrib,1,5,0,10,592360,5,598,592958
7,1,1,92,Procedure1,List1,5,246,198,1,92,tolerably,tolerab,1,5,0,10,393520,5,602,394122
7,1,1,123,Procedure1,List1,5,246,199,1,123,volubly,volub,1,5,0,10,509823,5,377,510200
7,1,1,187,Procedure1,List1,5,246,200,1,187,wiggly,wigg,1,5,0,10,749931,5,920,750851
7,1,1,346,Procedure2,List2,6,4,4,1,146,kindling,kind,1,6,0,10,1375580,6,667,1376247
7,1,1,322,Procedure2,List2,6,5,5,1,122,dumpling,dump,1,6,0,10,1285539,6,502,1286041
7,1,1,389,Procedure2,List2,6,6,6,1,189,random,ran,1,6,0,10,1536903,6,1141,1538044
7,1,1,326,Procedure2,List2,6,7,7,1,126,dearth,dear,1,6,0,10,1300546,6,687,1301233
7,1,1,278,Procedure2,List2,6,12,12,1,78,hickory,hick,1,6,0,10,1120465,6,555,1121020
7,1,1,304,Procedure2,List2,6,13,13,1,104,auditory,audit,0,6,0,10,1218009,5,441,1218450
7,1,1,220,Procedure2,List2,6,14,14,1,20,testify,test,1,6,0,10,902867,6,501,903368
7,1,1,208,Procedure2,List2,6,24,24,1,8,boredom,bore,1,6,0,10,857846,6,547,858393
7,1,1,366,Procedure2,List2,6,25,25,1,166,tenth,ten,1,6,0,10,1450614,6,456,1451070
7,1,1,343,Procedure2,List2,6,26,26,1,143,freedom,free,1,6,0,10,1364325,6,563,1364888
7,1,1,274,Procedure2,List2,6,27,27,1,74,kingdom,king,1,6,0,10,1105458,6,474,1105932
7,1,1,319,Procedure2,List2,6,28,28,1,119,sapling,sap,1,6,0,10,1274284,6,605,1274889
7,1,1,330,Procedure2,List2,6,29,29,1,130,earthling,earth,1,6,0,10,1315553,6,512,1316065
7,1,1,287,Procedure2,List2,6,30,30,1,87,growth,grow,0,6,0,10,1154230,5,374,1154604
7,1,1,295,Procedure2,List2,6,31,31,1,95,serfdom,serf,1,6,0,10,1184243,6,592,1184835
7,1,1,339,Procedure2,List2,6,32,32,1,139,health,heal,1,6,0,10,1349318,6,666,1349984
7,1,1,355,Procedure2,List2,6,42,42,1,155,classify,class,1,6,0,10,1409345,6,478,1409823
7,1,1,349,Procedure2,List2,6,43,43,1,149,hotelier,hotel,1,6,0,10,1386835,6,604,1387439
7,1,1,250,Procedure2,List2,6,44,44,1,50,marketeer,market,1,6,0,10,1015417,6,541,1015958
7,1,1,272,Procedure2,List2,6,45,45,1,72,justify,just,1,6,0,10,1097955,6,506,1098461
7,1,1,275,Procedure2,List2,6,46,46,1,75,courtier,court,1,6,0,10,1109210,6,538,1109748
7,1,1,292,Procedure2,List2,6,47,47,1,92,nullify,null,1,6,0,10,1172988,6,567,1173555
7,1,1,398,Procedure2,List2,6,48,48,1,198,racketeer,racket,1,6,0,10,1570668,6,528,1571196
7,1,1,225,Procedure2,List2,6,49,49,1,25,musketeer,musket,1,6,0,10,921625,6,479,922104
7,1,1,252,Procedure2,List2,6,50,50,1,52,clothier,cloth,1,6,0,10,1022921,6,717,1023638
7,1,1,342,Procedure2,List2,6,52,52,1,142,imply,imp,0,6,0,10,1360573,5,779,1361352
7,1,1,374,Procedure2,List2,6,59,59,1,174,flower,flow,1,6,0,10,1480627,6,554,1481181
7,1,1,298,Procedure2,List2,6,60,60,1,98,traitor,trait,1,6,0,10,1195499,6,528,1196027
7,1,1,315,Procedure2,List2,6,61,61,1,115,limber,limb,1,6,0,10,1259277,6,629,1259906
7,1,1,286,Procedure2,List2,6,62,62,1,86,hunger,hung,0,6,0,10,1150478,5,286,1150764
7,1,1,306,Procedure2,List2,6,63,63,1,106,pollen,poll,1,6,0,10,1225512,6,522,1226034
7,1,1,379,Procedure2,List2,6,64,64,1,179,vanish,van,1,6,0,10,1499386,6,483,1499869
7,1,1,283,Procedure2,List2,6,74,74,1,83,weakness,weak,1,6,0,10,1139223,6,461,1139684
7,1,1,358,Procedure2,List2,6,75,75,1,158,greatly,great,1,6,0,10,1420600,6,527,1421127
7,1,1,399,Procedure2,List2,6,76,76,1,199,illness,ill,1,6,0,10,1574419,6,617,1575036
7,1,1,261,Procedure2,List2,6,77,77,1,61,calmness,calm,1,6,0,10,1056686,6,487,1057173
7,1,1,390,Procedure2,List2,6,78,78,1,190,deathlike,death,1,6,0,10,1540654,6,742,1541396
7,1,1,266,Procedure2,List2,6,79,79,1,66,waiflike,waif,0,6,0,10,1075444,5,649,1076093
7,1,1,360,Procedure2,List2,6,80,80,1,160,highly,high,1,6,0,10,1428103,6,591,1428694
7,1,1,290,Procedure2,List2,6,81,81,1,90,stainless,stain,1,6,0,10,1165485,6,534,1166019
7,1,1,265,Procedure2,List2,6,82,82,1,65,warlike,war,1,6,0,10,1071693,6,488,1072181
7,1,1,226,Procedure2,List2,6,92,92,1,26,drawer,draw,0,6,0,10,925377,5,503,925880
7,1,1,207,Procedure2,List2,6,93,93,1,7,greenish,green,1,6,0,10,854095,6,474,854569
7,1,1,214,Procedure2,List2,6,94,94,1,14,bookish,book,1,6,0,10,880356,6,485,880841
7,1,1,370,Procedure2,List2,6,95,95,1,170,drunken,drunk,1,6,0,10,1465620,6,538,1466158
7,1,1,264,Procedure2,List2,6,96,96,1,64,foolish,fool,1,6,0,10,1067941,6,472,1068413
7,1,1,333,Procedure2,List2,6,97,97,1,133,freakish,freak,1,6,0,10,1326808,6,480,1327288
7,1,1,215,Procedure2,List2,6,98,98,1,15,flaxen,flax,1,6,0,10,884108,6,493,884601
7,1,1,353,Procedure2,List2,6,99,99,1,153,hunter,hunt,1,6,0,10,1401842,6,525,1402367
7,1,1,312,Procedure2,List2,6,100,100,1,112,sailor,sail,1,6,0,10,1248022,6,476,1248498
7,1,1,388,Procedure2,List2,6,101,1,1,188,kindling,bread,1,6,0,10,1533151,6,470,1533621
7,1,1,209,Procedure2,List2,6,102,2,1,9,dumpling,hear,1,6,0,10,861598,6,499,862097
7,1,1,210,Procedure2,List2,6,103,3,1,10,random,you,1,6,0,10,865350,6,419,865769
7,1,1,277,Procedure2,List2,6,108,8,1,77,hickory,car,1,6,0,10,1116713,6,491,1117204
7,1,1,350,Procedure2,List2,6,109,9,1,150,auditory,rat,1,6,0,10,1390587,6,596,1391183
7,1,1,255,Procedure2,List2,6,110,10,1,55,testify,fact,1,6,0,10,1034176,6,478,1034654
7,1,1,294,Procedure2,List2,6,111,11,1,94,dearth,pill,1,6,0,10,1180492,6,455,1180947
7,1,1,241,Procedure2,List2,6,115,15,1,41,boredom,seed,1,6,0,10,981652,6,475,982127
7,1,1,334,Procedure2,List2,6,116,16,1,134,tenth,warm,1,6,0,10,1330559,6,473,1331032
7,1,1,311,Procedure2,List2,6,117,17,1,111,freedom,four,0,6,0,10,1244271,5,451,1244722
7,1,1,310,Procedure2,List2,6,118,18,1,110,kingdom,boy,1,6,0,10,1240519,6,419,1240938
7,1,1,282,Procedure2,List2,6,119,19,1,82,sapling,eleven,0,6,0,10,1135471,5,589,1136060
